Date,Close,RollingVolatility,Year,Date.y,RiskFreeRate,TotalDebt,EffectiveDebt,EstimatedAssetValue,EstimatedAssetVolatility,r,d2,ApproxDefaultProbability
2023-04-03,5.04,0.504373963343688,2023,2023-06-01,1.63,2232600000,446520000,446520005.04,5.6930143029637986e-9,0.0163,2863160.0800304553,0
2023-04-10,5.34,0.5080778351480277,2023,2023-03-01,1.68,2232600000,446520000,446520005.34,6.076179358693161e-9,0.0168,2764897.3092137235,0
2023-04-10,5.34,0.5080778351480277,2023,2023-04-03,1.13,2232600000,446520000,446520005.34,6.076179358693161e-9,0.0113,1859723.2392397725,0
2023-04-10,5.34,0.5080778351480277,2023,2023-05-01,1.4,2232600000,446520000,446520005.34,6.076179358693161e-9,0.013999999999999999,2304081.4190451666,0
2023-04-10,5.34,0.5080778351480277,2023,2023-06-01,1.63,2232600000,446520000,446520005.34,6.076179358693161e-9,0.0163,2682608.7573979096,0
2023-04-17,4.96,0.5011117717511788,2023,2023-03-01,1.68,2232600000,446520000,446520004.96,5.566412165807674e-9,0.0168,3018104.0511733945,0
2023-04-17,4.96,0.5011117717511788,2023,2023-04-03,1.13,2232600000,446520000,446520004.96,5.566412165807674e-9,0.0113,2030034.9258246855,0
2023-04-17,4.96,0.5011117717511788,2023,2023-05-01,1.4,2232600000,446520000,446520004.96,5.566412165807674e-9,0.013999999999999999,2515087.0419049608,0
2023-04-17,4.96,0.5011117717511788,2023,2023-06-01,1.63,2232600000,446520000,446520004.96,5.566412165807674e-9,0.0163,2928279.585232603,0
2023-04-24,5.05,0.4954811825216685,2023,2023-03-01,1.68,2232600000,446520000,446520005.05,5.603735428279947e-9,0.0168,2998002.2298876625,0
2023-04-24,5.05,0.4954811825216685,2023,2023-04-03,1.13,2232600000,446520000,446520005.05,5.603735428279947e-9,0.0113,2016514.0653601997,0
2023-04-24,5.05,0.4954811825216685,2023,2023-05-01,1.4,2232600000,446520000,446520005.05,5.603735428279947e-9,0.013999999999999999,2498335.5279464084,0
2023-04-24,5.05,0.4954811825216685,2023,2023-06-01,1.63,2232600000,446520000,446520005.05,5.603735428279947e-9,0.0163,2908776.0331124384,0
2023-05-01,5.32,0.4970958473867133,2023,2023-04-03,1.13,2232600000,446520000,446520005.32,5.922578779425772e-9,0.0113,1907954.6824458544,0
